timestamp_ms,label,ax,ay,az,gx,gy,gz
791498,STATIONARY,-0.331421,0.788330,-0.518555,-0.366211,0.122070,-0.122070
791518,STATIONARY,-0.331543,0.789185,-0.518799,-0.366211,0.122070,-0.122070
791538,STATIONARY,-0.333252,0.788574,-0.519897,-0.305176,0.122070,-0.061035
791558,STATIONARY,-0.332275,0.788696,-0.519165,-0.305176,0.183105,-0.122070
791578,STATIONARY,-0.332520,0.788696,-0.518311,-0.366211,0.122070,-0.183105
791598,STATIONARY,-0.332275,0.788330,-0.519409,-0.366211,0.183105,-0.122070
791618,STATIONARY,-0.332275,0.788330,-0.520630,-0.366211,0.244141,-0.122070
791638,STATIONARY,-0.332520,0.788086,-0.520020,-0.366211,0.183105,-0.122070
791658,STATIONARY,-0.331543,0.788452,-0.519897,-0.305176,0.183105,-0.183105
791678,STATIONARY,-0.332520,0.788696,-0.520142,-0.366211,0.183105,-0.183105
791698,STATIONARY,-0.332642,0.789185,-0.520508,-0.366211,0.183105,-0.122070
791718,STATIONARY,-0.332520,0.788330,-0.520752,-0.244141,0.183105,-0.183105
791738,STATIONARY,-0.331665,0.788208,-0.519897,-0.305176,0.183105,-0.122070
791758,STATIONARY,-0.332642,0.789185,-0.519043,-0.305176,0.244141,-0.122070
791778,STATIONARY,-0.333008,0.787964,-0.519287,-0.305176,0.122070,-0.122070
791798,STATIONARY,-0.332764,0.788330,-0.519287,-0.305176,0.122070,-0.122070
791818,STATIONARY,-0.332031,0.788818,-0.520874,-0.305176,0.122070,-0.183105
791838,STATIONARY,-0.332520,0.788208,-0.519043,-0.305176,0.122070,-0.183105
791858,STATIONARY,-0.332275,0.788696,-0.519409,-0.305176,0.183105,-0.244141
791878,STATIONARY,-0.333374,0.787964,-0.520874,-0.305176,0.244141,-0.122070
791898,STATIONARY,-0.333008,0.788818,-0.520020,-0.305176,0.122070,-0.061035
791918,STATIONARY,-0.332764,0.788208,-0.519653,-0.366211,0.122070,-0.183105
791938,STATIONARY,-0.331909,0.788940,-0.519287,-0.366211,0.244141,-0.122070
791958,STATIONARY,-0.332520,0.788208,-0.519287,-0.305176,0.183105,-0.183105
791978,STATIONARY,-0.332764,0.789185,-0.519897,-0.305176,0.122070,-0.183105
791998,STATIONARY,-0.332886,0.788574,-0.520142,-0.305176,0.183105,-0.122070
792018,STATIONARY,-0.332642,0.787476,-0.520020,-0.366211,0.183105,-0.183105
792038,STATIONARY,-0.332031,0.788574,-0.519653,-0.366211,0.244141,-0.183105
792058,STATIONARY,-0.331177,0.789185,-0.519897,-0.305176,0.183105,-0.183105
792078,STATIONARY,-0.331909,0.788818,-0.521729,-0.366211,0.183105,-0.183105
792098,STATIONARY,-0.332397,0.789062,-0.519897,-0.305176,0.183105,-0.183105
792118,STATIONARY,-0.331787,0.787720,-0.519409,-0.305176,0.122070,-0.122070
792138,STATIONARY,-0.331787,0.787354,-0.518799,-0.305176,0.122070,-0.122070
792158,STATIONARY,-0.332031,0.787964,-0.520386,-0.244141,0.183105,-0.122070
792178,STATIONARY,-0.332397,0.788452,-0.519653,-0.305176,0.183105,-0.122070
792198,STATIONARY,-0.331665,0.787720,-0.520264,-0.305176,0.122070,-0.122070
792218,STATIONARY,-0.332397,0.789307,-0.518799,-0.305176,0.122070,-0.122070
792238,STATIONARY,-0.332153,0.788208,-0.519409,-0.305176,0.183105,-0.244141
792258,STATIONARY,-0.332397,0.788086,-0.520752,-0.366211,0.061035,-0.122070
792278,STATIONARY,-0.332397,0.788452,-0.520142,-0.305176,0.183105,-0.183105
792298,STATIONARY,-0.332520,0.788818,-0.518311,-0.305176,0.244141,-0.183105
792318,STATIONARY,-0.332886,0.787720,-0.519775,-0.305176,0.183105,-0.122070
792338,STATIONARY,-0.333130,0.787720,-0.519287,-0.305176,0.183105,-0.122070
792358,STATIONARY,-0.332642,0.787476,-0.520752,-0.305176,0.122070,-0.122070
792378,STATIONARY,-0.332397,0.788818,-0.521240,-0.244141,0.122070,-0.122070
792398,STATIONARY,-0.331665,0.788818,-0.519897,-0.305176,0.122070,-0.122070
792418,STATIONARY,-0.331909,0.788208,-0.520264,-0.366211,0.183105,-0.183105
792438,STATIONARY,-0.332886,0.787720,-0.519897,-0.366211,0.183105,-0.122070
792458,STATIONARY,-0.331909,0.789185,-0.520142,-0.305176,0.183105,-0.061035
792478,STATIONARY,-0.333252,0.788452,-0.521606,-0.305176,0.183105,-0.122070
792498,STATIONARY,-0.332764,0.788208,-0.519775,-0.305176,0.122070,-0.122070
792518,STATIONARY,-0.332642,0.788574,-0.519287,-0.366211,0.122070,-0.122070
792538,STATIONARY,-0.332764,0.788086,-0.519653,-0.366211,0.061035,-0.061035
792558,STATIONARY,-0.331909,0.788574,-0.520020,-0.305176,0.122070,-0.122070
792578,STATIONARY,-0.332397,0.788330,-0.519043,-0.305176,0.122070,-0.061035
792598,STATIONARY,-0.331909,0.788940,-0.519897,-0.244141,0.122070,-0.122070
792618,STATIONARY,-0.332764,0.787598,-0.519409,-0.427246,0.183105,-0.183105
792638,STATIONARY,-0.331543,0.788574,-0.518311,-0.305176,0.183105,-0.183105
792658,STATIONARY,-0.332886,0.787720,-0.518921,-0.305176,0.183105,-0.122070
792678,STATIONARY,-0.333008,0.788696,-0.519897,-0.305176,0.244141,-0.244141
792698,STATIONARY,-0.332153,0.787964,-0.520142,-0.244141,0.183105,-0.122070
792718,STATIONARY,-0.332153,0.788574,-0.519165,-0.305176,0.122070,-0.183105
792738,STATIONARY,-0.332764,0.788818,-0.519287,-0.305176,0.183105,-0.183105
792758,STATIONARY,-0.332153,0.788208,-0.520630,-0.366211,0.183105,-0.183105
792778,STATIONARY,-0.332275,0.788818,-0.520386,-0.305176,0.122070,-0.183105
792798,STATIONARY,-0.333374,0.788208,-0.519653,-0.244141,0.183105,-0.183105
792818,STATIONARY,-0.332886,0.789062,-0.519897,-0.305176,0.122070,-0.122070
792838,STATIONARY,-0.332153,0.788696,-0.519897,-0.305176,0.183105,-0.183105
792858,STATIONARY,-0.332031,0.787598,-0.520630,-0.244141,0.244141,-0.122070
792878,STATIONARY,-0.333740,0.788818,-0.520020,-0.305176,0.183105,-0.122070
792898,STATIONARY,-0.332886,0.788818,-0.519287,-0.305176,0.122070,-0.122070
792918,STATIONARY,-0.332275,0.788574,-0.521362,-0.305176,0.122070,-0.122070
792938,STATIONARY,-0.332031,0.788696,-0.519897,-0.305176,0.183105,-0.122070
792958,STATIONARY,-0.331909,0.788330,-0.518921,-0.305176,0.122070,-0.122070
792978,STATIONARY,-0.332642,0.788086,-0.519531,-0.366211,0.183105,-0.244141
792998,STATIONARY,-0.331909,0.788208,-0.520996,-0.366211,0.183105,-0.122070
793018,STATIONARY,-0.332520,0.788696,-0.520508,-0.305176,0.183105,-0.183105
793038,STATIONARY,-0.333008,0.789307,-0.520752,-0.366211,0.183105,-0.183105
793058,STATIONARY,-0.333374,0.788330,-0.518921,-0.305176,0.183105,-0.122070
793078,STATIONARY,-0.331543,0.787354,-0.518799,-0.244141,0.183105,-0.183105
793098,STATIONARY,-0.331787,0.788208,-0.520630,-0.305176,0.244141,-0.122070
793118,STATIONARY,-0.332642,0.788330,-0.518555,-0.305176,0.122070,-0.183105
793138,STATIONARY,-0.332520,0.788086,-0.519165,-0.305176,0.122070,-0.122070
793158,STATIONARY,-0.333252,0.788818,-0.520630,-0.305176,0.122070,-0.122070
793178,STATIONARY,-0.332153,0.787842,-0.519775,-0.305176,0.122070,-0.122070
793198,STATIONARY,-0.333130,0.788086,-0.519287,-0.366211,0.183105,-0.122070
793218,STATIONARY,-0.332031,0.788574,-0.518555,-0.244141,0.183105,-0.122070
793238,STATIONARY,-0.332642,0.788208,-0.519165,-0.305176,0.183105,-0.122070
793258,STATIONARY,-0.333374,0.787720,-0.519531,-0.366211,0.122070,-0.122070
793278,STATIONARY,-0.332397,0.788330,-0.519653,-0.305176,0.061035,-0.061035
793298,STATIONARY,-0.332520,0.789673,-0.519775,-0.305176,0.122070,-0.183105
793318,STATIONARY,-0.332153,0.788574,-0.520020,-0.305176,0.244141,-0.183105
793338,STATIONARY,-0.332764,0.788086,-0.520142,-0.366211,0.244141,-0.122070
793358,STATIONARY,-0.332520,0.787964,-0.520630,-0.305176,0.122070,-0.061035
793378,STATIONARY,-0.332153,0.788452,-0.519653,-0.305176,0.183105,-0.122070
793398,STATIONARY,-0.332520,0.788574,-0.519043,-0.305176,0.244141,-0.122070
793418,STATIONARY,-0.332764,0.788452,-0.519409,-0.305176,0.183105,-0.122070
793438,STATIONARY,-0.332886,0.788330,-0.518921,-0.366211,0.122070,-0.122070
793458,STATIONARY,-0.332153,0.788696,-0.519043,-0.244141,0.122070,-0.122070
793478,STATIONARY,-0.333618,0.789307,-0.519287,-0.305176,0.183105,-0.122070
793498,STATIONARY,-0.332153,0.788940,-0.519653,-0.366211,0.183105,-0.183105
793518,STATIONARY,-0.331665,0.788086,-0.518677,-0.366211,0.183105,-0.122070
793538,STATIONARY,-0.331909,0.788330,-0.519775,-0.366211,0.183105,-0.122070
793558,STATIONARY,-0.332520,0.787720,-0.520142,-0.366211,0.183105,-0.122070
793578,STATIONARY,-0.332886,0.789062,-0.519287,-0.305176,0.122070,-0.122070
793598,STATIONARY,-0.332764,0.788208,-0.519531,-0.305176,0.183105,-0.183105
793618,STATIONARY,-0.332764,0.787598,-0.520508,-0.366211,0.061035,-0.061035
793638,STATIONARY,-0.332642,0.787964,-0.518799,-0.305176,0.061035,-0.061035
793658,STATIONARY,-0.332886,0.788452,-0.518799,-0.366211,0.183105,-0.122070
793678,STATIONARY,-0.332886,0.788330,-0.520264,-0.366211,0.244141,-0.061035
793698,STATIONARY,-0.332886,0.787476,-0.520752,-0.305176,0.183105,-0.183105
793718,STATIONARY,-0.333008,0.788208,-0.520020,-0.305176,0.061035,-0.183105
793738,STATIONARY,-0.332886,0.788208,-0.519043,-0.305176,0.061035,-0.122070
793758,STATIONARY,-0.333252,0.788452,-0.519043,-0.244141,0.183105,-0.183105
793778,STATIONARY,-0.333130,0.788086,-0.520630,-0.305176,0.183105,-0.122070
793798,STATIONARY,-0.332886,0.788086,-0.519409,-0.366211,0.183105,-0.122070
793818,STATIONARY,-0.333130,0.789429,-0.519775,-0.366211,0.244141,-0.122070
793838,STATIONARY,-0.332275,0.788940,-0.519897,-0.305176,0.183105,-0.183105
793858,STATIONARY,-0.332886,0.788574,-0.519043,-0.366211,0.122070,-0.122070
793878,STATIONARY,-0.333252,0.788696,-0.520752,-0.366211,0.183105,-0.122070
793898,STATIONARY,-0.332031,0.788818,-0.519531,-0.305176,0.122070,-0.122070
793918,STATIONARY,-0.332886,0.788818,-0.519653,-0.305176,0.122070,-0.122070
793938,STATIONARY,-0.332397,0.788452,-0.519531,-0.244141,0.183105,-0.122070
793958,STATIONARY,-0.333008,0.789551,-0.519775,-0.305176,0.183105,-0.122070
793978,STATIONARY,-0.332764,0.788208,-0.519897,-0.244141,0.122070,-0.122070
793998,STATIONARY,-0.331909,0.787598,-0.520020,-0.244141,0.183105,-0.122070
794018,STATIONARY,-0.332397,0.788696,-0.520142,-0.366211,0.183105,-0.122070
794038,STATIONARY,-0.333008,0.788696,-0.519897,-0.366211,0.183105,-0.183105
